Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  Kj10   23   RS vCRO L(119-120)  1  0     4   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  0  0   0  0  0   3   0   0   3   3   0    1    0   0   0   0   0  A
   Ga5   23   RS vCRO L(119-120)  1  1  2182   7  13   7  13   0   0   3   4   1   2   6   9   1   4  5  9 14   1  4  2  17  15   3   2  89  87   17    2   3   1   2   0  A
   Fa7   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ih4   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   23   RS vCRO L(119-120)  1  1  2700   9  17   6   9   3   8   7   7   0   0   3   5   3   4  0  6  6  10  3  3  28   8   4  -1 119 120   36   16   0   3   1   2  A
   Jc4   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ec2   23   RS vCRO L(119-120)  1  1  1548   3  11   3  11   0   0   0   0   0   0   2   8   1   3  0  8  8   0  2  0   6   4   0  -7  54  61   12    1   2   0   0   0  A
   Ej5   23   RS vCRO L(119-120)  1  1  2700  11  19   8  12   3   7   0   0   0   1   1   4   7   8  2  2  4  22  1  0  25   2   0  -1 119 120   66   47   0   1   0   0  A
   Jg1   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ia2   23   RS vCRO L(119-120)  1  0  1335   6   9   6   8   0   1   0   0   0   0   3   4   3   4  1  4  5   0  2  0  12   6   2  -5  67  72    9    0   0   2   0   0  A
   Ie9   26   RS @LAT  L(96-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   He5   26   RS @LAT  L(96-105)  0  1  1248   2   6   1   4   1   2   2   2   0   1   1   3   0   1  1  2  3   1  2  1   7   2   2   6  59  53   10    3   1   1   0   1  A
   Hi3   26   RS @LAT  L(96-105)  0  0  1469   4   6   3   4   1   2   0   0   0   0   1   1   2   3  0  3  3   9  0  0   9   2   0  14  67  53   31   25   0   0   0   0  A
  Kj10   26   RS @LAT  L(96-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga5   26   RS @LAT  L(96-105)  0  1  2400   3   6   3   4   0   2   8  13   1   1   2   3   1   1  9 10 19   0  1  6  14   9   4  -9  96 105   12    0   1   0   4   2  A
   Fa7   26   RS @LAT  L(96-105)  0  0  1469  10  17  10  16   0   1   5  10   1   1   9   9   1   7  3  4  7   0  1  5  25  23   4  14  67  53   22    0   0   1   5   0  A
