Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Fi3   17   RS vBRE L(100-105)  0  1   645   5   9   3   5   2   4   0   0   0   0   1   2   2   3  0  0  0   3  1  0  12   2   3  -4  31  35   14    5   0   1   0   0  A
   Kf2   17   RS vBRE L(100-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1   17   RS vBRE L(100-105)  0  0   320   1   3   0   2   1   1   0   0   0   0   0   0   0   2  0  0  0   2  0  0   3   0   0  -1  15  16    5    2   0   0   0   0  A
  He10   17   RS vBRE L(100-105)  0  1  2400  10  15  10  14   0   1   4   6   0   0   3   4   7  10  3  4  7   2  3  3  24   6   2  -5 100 105   22    4   2   1   0   3  A
   Ie8   17   RS vBRE L(100-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   17   RS vBRE L(100-105)  0  0   280   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  2  0   0   0   0  -2   7   9    0    0   1   1   0   0  A
   Ja3   17   RS vBRE L(100-105)  0  1  1800   4  15   4  15   0   0   3   4   0   0   4   9   0   6  1  7  8   0  1  2  11  11   4 -15  69  84   18    1   1   0   2   0  A
  Kc11   17   RS vBRE L(100-105)  0  1  2400  10  15  10  13   0   2   0   0   2   2   8  11   2   2  3  6  9   0  1  0  20  16   6  -5 100 105   15    0   0   1   0   0  A
   Ji7   17   RS vBRE L(100-105)  0  1  2201   3   7   3   7   0   0   0   0   0   1   1   4   2   3  3  9 12  11  3  0   6   2   0  -3  90  93   29   22   0   3   0   0  A
   Jc5   17   RS vBRE L(100-105)  0  0   600   3   6   3   6   0   0   0   0   0   0   2   4   1   2  1  0  1   1  1  0   6   4   0  10  31  21    7    1   0   1   0   0  A
   Fj3   17   RS vBRE L(100-105)  0  0  1354   6  14   3   8   3   6   3   3   0   0   0   2   3   6  0  3  3   4  0  1  18   0   0   0  57  57   23    8   0   0   0   1  A
   Ia3   17   RS vBRE L(100-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Fi3   23   RS @QUE W(120-119)  1  1   380   0   1   0   0   0   1   0   0   0   0   0   0   0   0  1  0  1   2  0  0   0   0   0 -10   7  17    4    3   0   0   0   0  A
   Kf2   23   RS @QUE W(120-119)  1  0     4   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -3   0   3    0    0   0   0   0   0  A
   If1   23   RS @QUE W(120-119)  1  0  1853   6  15   4  10   2   5   2   2   0   1   0   4   4   6  1  4  5   9  2  1  16   2   2   4  93  89   28   12   1   1   1   0  A
  He10   23   RS @QUE W(120-119)  1  1   847   1   6   1   5   0   1   0   0   0   0   0   1   1   4  2  6  8   0  0  0   2   0   0  -3  27  30    6    0   0   0   0   0  A
   Ie8   23   RS @QUE W(120-119)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   23   RS @QUE W(120-119)  1  0   251   0   2   0   1   0   1   3   4   0   0   0   0   0   1  0  2  2   0  0  2   3   0   0 -10   9  19    4    0   0   0   0   2  A
   Ja3   23   RS @QUE W(120-119)  1  1  1136   7  12   7  12   0   0   1   2   1   2   6   8   1   4  2  1  3   0  3  1  15  13   4  -7  39  46   15    2   3   0   1   0  A
  Kc11   23   RS @QUE W(120-119)  1  1  2669  10  19  10  18   0   1   3   4   1   1  10  17   0   1  2 10 12   1  1  2  23  22   2   7 117 110   23    2   0   1   1   1  A
   Ji7   23   RS @QUE W(120-119)  1  1  2700   4  14   3  11   1   3   6   7   1   2   2   7   1   4  3  2  5  10  1  3  15   7   2   1 120 119   44   27   0   1   2   1  A
   Jc5   23   RS @QUE W(120-119)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Fj3   23   RS @QUE W(120-119)  1  0  2100   9  11   6   7   3   4  15  17   1   1   2   2   4   5  2  3  5   5  0  6  36   6   5  15 107  92   28   11   0   0   1   5  A
   Ia3   23   RS @QUE W(120-119)  1  0  1560   5   9   5   7   0   2   0   0   0   0   4   6   1   1  5  6 11   1  0  0  10   8   4  11  81  70   10    1   0   0   0   0  A
   Fi3   25   RS vHAR  L(92-101)  0  0   418   1   2   1   2   0   0   0   0   0   0   0   0   1   2  0  0  0   2  0  0   2   0   0  -3  15  18    4    2   0   0   0   0  A
   Kf2   25   RS vHAR  L(92-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1   25   RS vHAR  L(92-101)  0  1   931   2   8   0   4   2   4   0   0   0   1   0   1   0   3  1  4  5   0  3  0   6   0   0  -7  35  42    9    1   2   1   0   0  A
  He10   25   RS vHAR  L(92-101)  0  0  1469   3   7   3   6   0   1   0   0   0   0   0   0   3   6  1  2  3   2  1  0   6   0   0  -2  57  59    9    2   0   1   0   0  A
   Ie8   25   RS vHAR  L(92-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   25   RS vHAR  L(92-101)  0  0   158   0   0   0   0   0   0   2   2   0   0   0   0   0   0  1  0  1   1  0  1   2   2   2  -3   6   9    2    1   0   0   1   0  A
   Ja3   25   RS vHAR  L(92-101)  0  1  1826   6  12   6  12   0   0   1   2   0   0   4   6   2   6  0  7  7   0  4  1  13   9   4 -14  63  77   13    0   3   1   1   0  A
  Kc11   25   RS vHAR  L(92-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ji7   25   RS vHAR  L(92-101)  0  1  1891   4   6   4   5   0   1   2   4   0   0   2   2   2   3  0  2  2  10  4  2  10   5   0  -2  74  76   26   18   2   2   1   1  A
   Jc5   25   RS vHAR  L(92-101)  0  1  1833   1   9   1   8   0   1   0   2   0   0   1   5   0   3  4  5  9   0  1  1   2   2   0  -7  73  80   10    0   0   1   1   0  A
   Fj3   25   RS vHAR  L(92-101)  0  1  2333  11  21   5  11   6  10  12  13   0   0   3   6   2   5  1  4  5   4  1  5  40   8   3 -10  89  99   36   10   0   1   1   4  A
   Ia3   25   RS vHAR  L(92-101)  0  0  1141   5  10   4   8   1   2   0   0   1   1   3   4   1   4  2  4  6   2  3  0  11   6   5   3  48  45   17    7   2   1   0   0  A
